model_id,source
SIDM00499,Sanger
SIDM00980,Sanger
SIDM00982,Sanger
SIDM00807,Broad
SIDM00999,Broad
SIDM00983,Broad
SIDM01076,Broad
SIDM00803,Sanger
SIDM00125,Broad
SIDM00998,Sanger
SIDM00997,Broad
SIDM00799,Sanger
SIDM00797,Sanger
SIDM00796,Sanger
SIDM00210,Sanger
SIDM00495,Broad
SIDM00795,Sanger
SIDM00794,Broad
SIDM00810,Broad
SIDM00995,Broad
SIDM00903,Sanger
SIDM00848,Broad
SIDM00494,Broad
SIDM00850,Sanger
SIDM00492,Sanger
SIDM00993,Broad
SIDM00900,Sanger
SIDM00491,Broad
SIDM00898,Sanger
SIDM00899,Sanger
SIDM00172,Sanger
SIDM01229,Sanger
SIDM00989,Broad
SIDM00988,Broad
SIDM00986,Sanger
SIDM00485,Sanger
SIDM00078,Broad
SIDM00501,Sanger
SIDM00122,Broad
SIDM00490,Sanger
SIDM00132,Sanger
SIDM00889,Broad
SIDM01233,Sanger
SIDM00890,Broad
SIDM00941,Broad
SIDM00940,Broad
SIDM00939,Broad
SIDM00937,Sanger
SIDM00936,Broad
SIDM00942,Sanger
SIDM00933,Sanger
SIDM00931,Broad
SIDM00930,Sanger
SIDM00929,Broad
SIDM00920,Broad
SIDM00934,Sanger
SIDM00212,Sanger
SIDM00487,Broad
SIDM00130,Broad
SIDM00910,Sanger
SIDM00944,Sanger
SIDM00826,Sanger
SIDM00842,Sanger
SIDM00957,Sanger
SIDM00284,Broad
SIDM00956,Sanger
SIDM00142,Sanger
SIDM00140,Broad
SIDM00515,Broad
SIDM00954,Sanger
SIDM00512,Sanger
SIDM00511,Broad
SIDM00509,Broad
SIDM00923,Broad
SIDM00489,Sanger
SIDM00921,Broad
SIDM00919,Broad
SIDM00918,Sanger
SIDM00924,Broad
SIDM00888,Broad
SIDM00209,Sanger
SIDM00208,Sanger
SIDM00207,Sanger
SIDM00950,Sanger
SIDM00886,Broad
SIDM00867,Sanger
SIDM00949,Broad
SIDM00947,Sanger
SIDM00523,Broad
SIDM00540,Sanger
SIDM00969,Sanger
SIDM00120,Sanger
SIDM01001,Broad
SIDM00887,Broad
SIDM00831,Sanger
SIDM00049,Sanger
SIDM00864,Broad
SIDM00486,Sanger
SIDM00278,Sanger
SIDM01056,Broad
SIDM01052,Sanger
SIDM01051,Sanger
SIDM01048,Broad
SIDM00119,Broad
SIDM01047,Broad
SIDM01045,Broad
SIDM01044,Sanger
SIDM00861,Sanger
SIDM00264,Sanger
SIDM00263,Sanger
SIDM00261,Sanger
SIDM00539,Sanger
SIDM00538,Sanger
SIDM01043,Sanger
SIDM01042,Sanger
SIDM00205,Sanger
SIDM00198,Sanger
SIDM00196,Sanger
SIDM00201,Sanger
SIDM00277,Broad
SIDM00860,Sanger
SIDM01041,Sanger
SIDM00213,Broad
SIDM00503,Broad
SIDM00858,Broad
SIDM00856,Broad
SIDM00855,Broad
SIDM01055,Sanger
SIDM00581,Sanger
SIDM00274,Broad
SIDM00853,Broad
SIDM00273,Sanger
SIDM00227,Broad
SIDM00537,Sanger
SIDM00852,Broad
SIDM00598,Sanger
SIDM01072,Sanger
SIDM01070,Broad
SIDM01068,Sanger
SIDM01067,Broad
SIDM00866,Sanger
SIDM00885,Sanger
SIDM00884,Sanger
SIDM00882,Broad
SIDM00881,Broad
SIDM00875,Sanger
SIDM00874,Sanger
SIDM00872,Sanger
SIDM00118,Sanger
SIDM00675,Sanger
SIDM00673,Sanger
SIDM00052,Sanger
SIDM00783,Sanger
SIDM00789,Sanger
SIDM00596,Sanger
